indicator,type,"last_seen","first_seen",sensor,"ut_domain"
"http://101.42.232.27/linux",URL,"1661867077.288650","1661867077.288650",1,"101.42.232.27"
"http://101.51.121.167/scripts/23",URL,"1661395047.668465","1661395047.668465",1,"101.51.121.167"
"http://101.51.121.167/scripts/23s",URL,"1661395047.668465","1661395047.668465",1,"101.51.121.167"
"http://101.51.121.206/scripts/23",URL,"1659876857.407080","1659699892.899443",1,"101.51.121.206"
"http://101.51.121.206/scripts/23s",URL,"1659876857.407080","1659699892.899443",1,"101.51.121.206"
"http://102.37.154.200/huh.sh",URL,"1657865159.755808","1657865073.618116",1,"102.37.154.200"
"http://103.136.40.243/z.sh",URL,"1651003592.768893","1651003592.768893",1,"103.136.40.243"
"http://103.76.181.17/AkitaXss/bin.x86",URL,"1656479766.151842","1656479766.151842",1,"103.76.181.17"
"http://104.244.74.191/xmrig",URL,"1655428593.898494","1655428593.898494",1,"104.244.74.191"
"http://104.244.74.191/xmrig2",URL,"1655428628.585057","1655428628.585057",1,"104.244.74.191"
"http://104.244.74.191/xmrig3",URL,"1655428659.418409","1655428659.418409",1,"104.244.74.191"
"http://104.244.74.191/xmrig4",URL,"1655428684.055059","1655428684.055059",1,"104.244.74.191"
"http://104.244.74.191/xmrig5",URL,"1655428714.107052","1655428714.107052",1,"104.244.74.191"
"http://107.148.210.213/1.txt",URL,"1657558779.431063","1657513523.784206",2,"107.148.210.213"
"http://107.148.210.213/2.txt",URL,"1657558779.431063","1657513523.784206",2,"107.148.210.213"
"http://107.152.39.162/bins/x86",URL,"1657737629.120016","1656261007.715154",2,"107.152.39.162"
"http://107.182.129.137/Fourloko.sh",URL,"1662062120.801041","1662021751.285883",1,"107.182.129.137"
"http://107.182.129.239/Fourloko.sh",URL,"1662062403.441858","1662062274.148317",1,"107.182.129.239"
"http://107.182.129.239/x86",URL,"1660750082.790987","1660750082.790987",1,"107.182.129.239"
"http://107.189.8.111/x86_64",URL,"1659063858.364802","1658987059.608348",2,"107.189.8.111"
"http://109.206.241.17/Beastmode.sh",URL,"1661528990.902932","1661496169.943433",1,"109.206.241.17"
"http://109.206.241.200/arcbins.sh",URL,"1661098791.057860","1661098791.057860",1,"109.206.241.200"
"http://109.206.241.200/spookybins.sh",URL,"1660092310.869604","1659991775.955352",2,"109.206.241.200"
"http://109.206.241.211/mrrow.sh",URL,"1660089722.304992","1659906414.455525",2,"109.206.241.211"
"http://109.206.241.211/wget.sh",URL,"1661022840.484687","1660679933.131878",1,"109.206.241.211"
"http://109.206.241.219/bins/phantom.x86",URL,"1660495328.839161","1660495068.168016",1,"109.206.241.219"
"http://109.206.241.219/phantom.sh",URL,"1660495446.261791","1660495330.139303",1,"109.206.241.219"
"http://109.206.241.62/Fourloko.sh",URL,"1660794270.655885","1660794270.655885",1,"109.206.241.62"
"http://113.160.100.172/scripts/23",URL,"1655534631.846289","1654890109.623904",1,"113.160.100.172"
"http://113.160.100.172/scripts/23s",URL,"1655534631.846289","1654890109.623904",1,"113.160.100.172"
"http://125.25.57.239/scripts/23",URL,"1661105432.266125","1660602465.099386",1,"125.25.57.239"
"http://125.25.57.239/scripts/23s",URL,"1661105432.266125","1660602465.099386",1,"125.25.57.239"
"http://125.27.179.36/scripts/23",URL,"1662189653.895694","1661985752.947023",1,"125.27.179.36"
"http://125.27.179.36/scripts/23s",URL,"1662189653.895694","1661985752.947023",1,"125.27.179.36"
"http://137.184.190.170/0x83911d24Fx.sh",URL,"1655595064.109249","1655595064.109249",1,"137.184.190.170"
"http://139.59.150.7:443/curl",URL,"1655256511.892611","1655246729.781591",1,"139.59.150.7"
"http://139.59.150.7:443/ps",URL,"1655256511.892611","1655246729.781591",1,"139.59.150.7"
"http://139.59.150.7:443/ss",URL,"1655256511.892611","1655246729.781591",1,"139.59.150.7"
"http://141.94.16.50/0x83911d24Fx.sh",URL,"1658921500.437101","1658791869.259246",1,"141.94.16.50"
